"score","text"
1," didnt catch the full gopdebate last night here are some of scotts best lines in  seconds walker Ä"
0," that carly fiorina is trending  hours after her debate  above any of the men in justcompleted gopdebate says shes on ‚Ä"
1," gopdebate w  delivered the highest ratings in the history of presidential debates trump Ä"
0," on my first day i will rescind every illegal executive action taken by barack obama gopdebate "
1," i liked her and was happy when i heard she was going to be the moderator not anymore gopdebate   Ä"
0,"deer in the headlights  ben carson may be the only brain surgeon who has performed a lobotomy on himself gopdebate"
0," last nights debate proved it gopdebate batsask  tbats  "
1,"  in all fairness billclinton owns that phrasegopdebate"
0," just woke up to tweet this out gopdebate 

best line of the night  "
1,"me reading my familys comments about how great the gopdebate was "
0," i loved scott walker as mark harmons romantic rival in summer school look it up gopdebate"
0,"hey  exploiting the tragedy of  for your own political gain is s thing gopdebate"
0," donaldtrump under fire for comments about women     weigh in on gopdebate Ä"
0," guess who had most speaking time at the gopdebate  moderators with  of time "
1,"reason comment is funny in case youre ignorant is the gop tcot are the reason the government isnt working for the people gopdebate"
0," huckabee paying for transgender surgery for soldiers sailors and airmen does not make our country safer ha gopdebate"
0," cruz has class amp truth that gets my vote gopdebate"
1," rt ‚Äú gopdebate was still clown show im glad head clown trump helping destroy gop Äù"
-2," no i hate planned parenthood and women more no i hate planned parenthood and women more gopdebate"
-1," fox news trying to convince us young black americans are more worried about isis than police terrorism gopdebate Ä"
0,"gopdebate rankings worst to be performance  rubio kasich christie bush trump cruz walker paul huckabee carson"
-3," scott walkers abortion ban allows rapist father to sue for emotional distress  gopdebate Ä"
2," its not a competition but how have we moved so far on gay rights but womens rights is worse than its ever been g‚Ä"
1," rt ‚Äú gopdebate was still clown show im glad head clown trump helping destroy gop Äù‚Äù"
2," watch the gopdebate bet you feel like donating to a democrat right about now  Ä"
0," theyre going to need to borrow the train horn for the next gopdebate  the little bell was wimpy hornmeansyouredone"
0," ted cruz at the gopdebate will be like ted cruz in bed he will keep a confusingly sad look on his face and refuse to ‚Ä"
0,"rt winesdaypodcast  an update on foxnews tech failures for the gopdebate  "
0," the torched has been passed gt is no longer the most famous political assassin congratulations  u wi‚Ä"
2," trumpcarson ticket would win in a landslide
   republican potus trump ‚Ä"
-1," jeb bush obama is at fault not my brother because obama didnt clean up the mess my brother made gopdebate Ä"
0," after the fox news gopdebate we primary voters are none the wiser on the policy plans these folks are putting forth journalism ‚Ä"
0," trump is a cross between the shrug emoji and president business from the lego movie gopdebate"
0," meanwhile in the white house  gopdebate "
-1," please rt kkkorgop gopdebate "
-1,"trump thinks criticism of his misogynistic remarks is a political correctness problem nope its a pervasive sexism problem gopdebate"
0," how the gopdebate handled blacklivesmatter 

"
2,"‚Äú gopdebate w  delivered the highest ratings in the history of presidential debates trump fox say thanks"
