"score","text"
1," didnt catch the full gopdeb last night here are some of scott best line in second walker"
0," that car fiorina is trend hour after her debat abov ani of the men in justcomplet gopdeb say shes on"
1," gopdeb w deliv the highest rate in the histori of presidenti debat trump"
0," on my first day i will rescind everi illeg execut action taken by barack obama gopdeb"
1," i like her and was happi when i heard she was go to be the moder not anymor gopdeb"
0,"deer in the headlight ben carson may be the onli brain surgeon who has perform a lobotomi on himself gopdeb"
0," last night debat prove it gopdeb batsask tbat"
1," in all fair billclinton own that phrasegopdeb"
1," just woke up to tweet this out gopdeb best line of the night"
1,"me read my famili comment about how great the gopdeb was"
0," i love scott walker as mark harmon romant rival in summer school look it up gopdeb"
0,"hey exploit the tragedi of for your own polit gain is s thing gopdeb"
0," donaldtrump under fire for comment about women weigh in on gopdeb"
0," guess who had most speak time at the gopdeb moder with of time"
1,"reason comment is funni in case your ignor is the gop tcot are the reason the govern isnt work for the peopl gopdeb"
0," huckabe pay for transgend surgeri for soldier sailor and airmen doe not make our countri safer ha gopdeb"
0," cruz has class amp truth that get my vote gopdeb"
1," gopdeb was still clown show im glad head clown trump help destroy gop"
-2," no i hate plan parenthood and women more no i hate plan parenthood and women more gopdeb"
-1," fox news tri to convinc us young black american are more worri about isi than polic terror gopdeb"
0,"gopdeb rank worst to be perform rubio kasich christi bush trump cruz walker paul huckabe carson"
-3," scott walker abort ban allow rapist father to sue for emot distress gopdeb"
2," it not a competit but how have we move so far on gay right but women right is wors than it ever been g"
1," gopdeb was still clown show im glad head clown trump help destroy gop"
2," watch the gopdeb bet you feel like donat to a democrat right about now"
0," theyr go to need to borrow the train horn for the next gopdeb the littl bell was wimpi hornmeansyouredon"
0," ted cruz at the gopdeb will be like ted cruz in bed he will keep a confus sad look on his face and refus to"
0,"rt winesdaypodcast an updat on foxnew tech failur for the gopdeb"
0," the torch has been pass gt is no longer the most famous polit assassin congratul u wi"
2," trumpcarson ticket would win in a landslid republican potus trump"
-1," jeb bush obama is at fault not my brother becaus obama didnt clean up the mess my brother made gopdeb"
0," after the fox news gopdeb we primari voter are none the wiser on the polici plan these folk are put forth journal"
0," trump is a cross between the shrug emoji and presid busi from the lego movi gopdeb"
0," meanwhil in the white hous gopdeb"
-1," pleas rt kkkorgop gopdeb"
-1,"trump think critic of his misogynist remark is a polit correct problem nope it a pervas sexism problem gopdeb"
0," how the gopdeb handl blacklivesmatt"
2," gopdeb w deliv the highest rate in the histori of presidenti debat trump fox say thank"
-1," mosttweet gopdeb moment say purpos of militari to kill peoplebreak thing re tran servicememb"
0," big moment were vs and reaction to women question kellyfil"
-1," here a question whi in the hell are women amp our bodi part even in this debat foh stop it it not wtf gopdeb"
-1," american get behead oversea and is worri whether call rosi odonnel fat gopdeb"
1," i wont defend they were far from fair or balanc last night but name call is juvenil gopdeb"
0," to nonchristian gopdeb god question underlin how littl anyon realli care about religi minor chri"
0," the gopdeb respons to blacklivesmatt was pathet"
0," said he cut fl tax by b but that includ cut in estat tax mandat by feder law gopdeb ht"
-1," dear gop if you want to stop abort gopdeb"
-1," join isi and sign your death warrant sign next presid of the us gopdeb wakeupamerica cruzcrew htt"
0," gopdeb close statement"
-1," status singl i broke up with last night goodby amp chris wallac gopdeb"
