"sentiment","text"
0," how did everyone feel about the climate change question last night exactly gopdebate"
0.242535625036333," didnt catch the full gopdebate last night here are some of scotts best lines in  seconds walker €"
0.277350098112615," no mention of tamir rice and the gopdebate was held in cleveland wow"
0," that carly fiorina is trending  hours after her debate  above any of the men in justcompleted gopdebate says shes on â€"
0.277350098112615," gopdebate w  delivered the highest ratings in the history of presidential debates trump €"
-0.25," on my first day i will rescind every illegal executive action taken by barack obama gopdebate "
0.458831467741123," i liked her and was happy when i heard she was going to be the moderator not anymore gopdebate   €"
0,"going on msnbc live with  around  pm et  gopdebate"
0,"deer in the headlights  ben carson may be the only brain surgeon who has performed a lobotomy on himself gopdebate"
0," last nights debate proved it gopdebate batsask  tbats  "
0.377964473009227,"  in all fairness billclinton owns that phrasegopdebate"
0.277350098112615," just woke up to tweet this out gopdebate 

best line of the night  "
0.301511344577764,"me reading my familys comments about how great the gopdebate was "
0,"  dear  gopdebate notamistake "
0.25," i loved scott walker as mark harmons romantic rival in summer school look it up gopdebate"
0,"hey  exploiting the tragedy of  for your own political gain is s thing gopdebate"
0," donaldtrump under fire for comments about women     weigh in on gopdebate €"
0," guess who had most speaking time at the gopdebate  moderators with  of time "
-0.41702882811415,"reason comment is funny in case youre ignorant is the gop tcot are the reason the government isnt working for the people gopdebate"
0," huckabee paying for transgender surgery for soldiers sailors and airmen does not make our country safer ha gopdebate"
0," cruz has class amp truth that gets my vote gopdebate"
0.516397779494322," rt â€œ gopdebate was still clown show im glad head clown trump helping destroy gop €"
0.2910427500436," no i hate planned parenthood and women more no i hate planned parenthood and women more gopdebate"
0," gopdebate vine by  "
-0.659966329107444," fox news trying to convince us young black americans are more worried about isis than police terrorism gopdebate €"
0,"gopdebate rankings worst to be performance  rubio kasich christie bush trump cruz walker paul huckabee carson"
-0.554700196225229," scott walkers abortion ban allows rapist father to sue for emotional distress  gopdebate €"
-0.204124145231932," its not a competition but how have we moved so far on gay rights but womens rights is worse than its ever been gâ€"
0.5," rt â€œ gopdebate was still clown show im glad head clown trump helping destroy gop €â€"
0.534522483824849," watch the gopdebate bet you feel like donating to a democrat right about now  €"
-0.0458831467741123," theyre going to need to borrow the train horn for the next gopdebate  the little bell was wimpy hornmeansyouredone"
-0.196116135138184," ted cruz at the gopdebate will be like ted cruz in bed he will keep a confusingly sad look on his face and refuse to â€"
0,"the first gopdebate social media reaction and more "
0,"socialmedia the first gopdebate social media reaction and more "
-0.301511344577764,"rt winesdaypodcast  an update on foxnews tech failures for the gopdebate  "
-0.242535625036333," the torched has been passed gt is no longer the most famous political assassin congratulations  u wiâ€"
0.603022689155527," trumpcarson ticket would win in a landslide
   republican potus trump â€"
0.223606797749979," jeb bush obama is at fault not my brother because obama didnt clean up the mess my brother made gopdebate €"
0," after the fox news gopdebate we primary voters are none the wiser on the policy plans these folks are putting forth journalism â€"
0," listening to fetty wap while packing because im a true american gopdebate doesthishashtagexpire"
0," trump is a cross between the shrug emoji and president business from the lego movie gopdebate"
0," meanwhile in the white house  gopdebate "
0.25," if youâ€™re planning out a gopdebate drinking game right now youâ€™re a rowdy gentleman"
0," please rt kkkorgop gopdebate "
-0.688247201611685,"trump thinks criticism of his misogynistic remarks is a political correctness problem nope its a pervasive sexism problem gopdebate"
0," how the gopdebate handled blacklivesmatter 

"
0.41702882811415," the goal of foxnews last night was to take out trump and pave the way for a rino like bush or kasich gopdebate"
0.288675134594813," from our live chat room gopdebate trump futures spy nonfarmpayrolls jobs netflix   €"
0.242535625036333,"â€œ gopdebate w  delivered the highest ratings in the history of presidential debates trump fox say thanks"
-0.481070235442364," mosttweeted  gopdebate moment saying purpose of military to kill peoplebreak things re trans servicemembers"
0," the best and worst from the gopdebate "
0," big moments were  vs  and  reaction to women question kellyfilâ€"
-0.204124145231932," heres a question why in the hell are women amp our body parts even in this debate foh stop it its not  wtf gopdebateâ€"
-0.554700196225229," americans getting beheaded overseas and  is worried whether  calls rosie odonnell fat gopdebate"
0.471404520791032," i wont defend  they were far from fair or balanced last night but name calling is juvenile gopdebate"
0," to nonchristians gopdebate god questions underline how little anyone really cares about religious minorities chriâ€"
-0.377964473009227," the gopdebate response to blacklivesmatter was pathetic "
0," said he cut fl taxes by b but that includes cuts in estate taxes mandated by federal law gopdebate htâ€"
0," dear gop
if you want to stop abortions 

gopdebate 
"
-0.242535625036333," join isis and sign your death warrant
signed  next president of the usó“

gopdebate wakeupamerica cruzcrew httâ€"
0," gopdebate closing statements "
-0.267261241912424," status ðÿ‘‰ single 

i broke up with  last night   goodbye   amp chris wallace

gopdebate €"
0.339549875050866," before the gopdebate  focus groupers said they had favorable view of trump

after only  saw him positively  €"
0.277350098112615," just made my first donation to 
so impressed by her gopdebate performance
fiorina "
-0.223606797749979," if we want to stop sending foreign aid to places that burn our flag can we start with berkeley gopdebate"
0," the rand paul eye roll to chris christie at the gopdebate "
-0.277350098112615," scrap the presidents iran deal iran canâ€™t get a nuke kasichus gopdebate "
0,"trying to decide if its too early to come back to twitter fulltime was gonna wait closer to election but the gopdebate may have me hooked"
0," donald trumps campaign reveals  important thing twitter trolls are real people

and they vote 

that should scare eveâ€"
-0.471404520791032," those saying dont worry trump will never be elected need to remember we elected george bush twice gopdebate €"
0.218217890235992,"fox news had its own gopdebate agenda promote carly never mention fired from hp fiorina amp run trump out of race "
0.218217890235992," oh one more thing did anyone hear anything about affordable child care for working families last night in the gopdebate  iâ€"
0,"  dear  gopdebate notamistake "
-0.242535625036333,"  gopdebate bill and martha were the a team in the first debate nd debate was an ambush"
0,"the countrys going to hell and megyn kelly on foxnews is attacking trump for a war on women gopdebate"
0.25," st gopdebateencouraging to see several candidates express their faith in god and his son jesus christ €"
0," donaldtrump said heâ€™s not â€œpolitically correctâ€  which of course is trumpspeak for â€œletâ€™s face it iâ€™m huge assholeâ€ â€"
0," a message to the gopdebate candidates "
-0.277350098112615," this is the worst episode of the apprentice that ive ever seen gopdebate"
0," luntz as the lines go up they almost reach  it almost never happens in the dial research we do gopdebate
httâ€"
-0.426401432711221," the purpose of the military is to kill people and break things  something an actual man running for president just said â€"
0,"wondering if i could get the republican party to pay for my liver transplant after playing  gopdebate drinking game last night"
0.377964473009227," great way to start friday carlyfiorina  gopdebate "
-0.447213595499958," if elected on my first day as president ill rescind every illegal and unconstitutional executive order enacted by pres obaâ€"
0.816496580927726," donald trump during gopdebate be like "
-0.235702260395516," was upstairs putting the kids to bed how many questions about climate change did i miss gopdebate gopclowncar"
-0.25,"theyâ€™re all todd akin now how the planned parenthood sting backfired on republicans gopdebate standwithpp 
"
-0.577350269189626," hey  let republicans digest gopdebate before allowing crazy  to trash our gop  €"
0.542720420239975," watch donald trump receive enormous applause for horribly misogynistic gopdebate answer  €"
0.0577350269189626,"a few of my favorite twitter responses to the gopdebate last night  "
0.436435780471985,"even though shes a super conservative reporter i actually like megyn kellys interview style amp she did great at the gopdebate"
0," the gopdebate is not a debate at all its a series of  minute opportunities to avoid answering a question one candidateâ€"
-0.554700196225229," credit for this joke goes to someone else but it is funny gopdebate "
0.267261241912424," simply incredible  last nights gopdebate doubled the previous record for mostwatched primary debate iâ€"
-0.223606797749979," this literally couldnt be more true for me i watched the gopdebate amp all i got was a lousy hangover €"
0," haha a little saas from  this morning towards  factchecked gopdebate "
0,"  dear  gopdebate notamistake "
0," what people saw in person vs what we saw on tv gopdebate "
-0.25," marco rubio told to his face hes candidate of yesterday for his antigay bigotry  gopdebate htâ€"
0," none of them have made trump look out of place or foolish yet think about that when youre done crying think about it agaiâ€"
